Protein ID	RNA ID
1A9N-B	1A9N-Q
1AQ3-A	1AQ3-R
1AQ4-A	1AQ4-R
1ASY-A	1ASY-R
1ASZ-A	1ASZ-R
1B23-P	1B23-R
1C04-C	1C04-E
1C0A-A	1C0A-B
1CX0-A	1CX0-B
1DFU-P	1DFU-N
1DK1-A	1DK1-B
1DRZ-A	1DRZ-B
1DUL-A	1DUL-B
1E7K-A	1E7K-C
1E8O-D	1E8O-E
1EC6-A	1EC6-D
1EFW-A	1EFW-C
1EIY-B	1EIY-C
1EUQ-A	1EUQ-B
1EUY-A	1EUY-B
1EXD-A	1EXD-B
1F7U-A	1F7U-B
1F7V-A	1F7V-B
1F7Y-A	1F7Y-B
1FEU-A	1FEU-C
1FFY-A	1FFY-T
1FJG-D	1FJG-A
1FKA-O	1FKA-A
1G1X-H	1G1X-J
1G1X-B	1G1X-E
1G59-A	1G59-B
1GAX-A	1GAX-C
1GTR-A	1GTR-B
1GTS-A	1GTS-B
1H4Q-B	1H4Q-T
1H4S-B	1H4S-T
1HC8-A	1HC8-C
1HNW-I	1HNW-A
1HNX-I	1HNX-A
1HNZ-I	1HNZ-A
1HQ1-A	1HQ1-B
1HR0-I	1HR0-A
1HVU-B	1HVU-C
1HYS-A	1HYS-E
1I6U-A	1I6U-C
1I94-I	1I94-A
1IBK-I	1IBK-A
1IBL-D	1IBL-A
1IBM-L	1IBM-A
1IL2-A	1IL2-C
1IVS-A	1IVS-C
1J1U-A	1J1U-B
1J2B-A	1J2B-D
1J5E-I	1J5E-A
1JBR-A	1JBR-C
1JBS-A	1JBS-C
1JBT-A	1JBT-C
1JID-A	1JID-B
1JJ2-M	1JJ2-9
1JJ2-B	1JJ2-0
1K73-O	1K73-B
1K73-D	1K73-A
1K8A-O	1K8A-B
1K8A-D	1K8A-A
1K8W-A	1K8W-B
1K9M-O	1K9M-B
1K9M-D	1K9M-A
1K9M-R	1K9M-A
1KC8-O	1KC8-B
1KC8-D	1KC8-A
1KC8-R	1KC8-A
1KD1-O	1KD1-B
1KD1-D	1KD1-A
1KD1-R	1KD1-A
1KOG-B	1KOG-J
1KQS-M	1KQS-9
1KQS-B	1KQS-0
1KUQ-A	1KUQ-B
1L1C-B	1L1C-C
1L9A-A	1L9A-B
1LNG-A	1LNG-B
1M1K-O	1M1K-B
1M1K-D	1M1K-A
1M5K-C	1M5K-B
1M5O-C	1M5O-B
1M5P-C	1M5P-B
1M5V-C	1M5V-B
1M90-O	1M90-B
1M90-D	1M90-A
1MFQ-B	1MFQ-A
1MJI-A	1MJI-C
1MMS-A	1MMS-C
1MZP-A	1MZP-B
1N32-L	1N32-A
1N33-L	1N33-A
1N34-L	1N34-A
1N36-L	1N36-A
1N77-A	1N77-C
1N78-A	1N78-C
1N8R-O	1N8R-B
1N8R-D	1N8R-A
1N8R-R	1N8R-A
1NJI-O	1NJI-B
1NJI-D	1NJI-A
1O0B-A	1O0B-B
1O0C-A	1O0C-B
1OB5-A	1OB5-B
1OLN-A	1OLN-C
1OOA-A	1OOA-C
1P6V-A	1P6V-B
1PNS-M	1PNS-A
1PNS-C	1PNS-A
1PNS-I	1PNS-A
1PNX-I	1PNX-A
1Q2R-A	1Q2R-E
1Q2S-A	1Q2S-E
1Q7Y-O	1Q7Y-B
1Q7Y-D	1Q7Y-A
1Q81-O	1Q81-B
1Q81-D	1Q81-A
1Q82-O	1Q82-B
1Q82-D	1Q82-A
1Q82-R	1Q82-A
1Q86-O	1Q86-B
1Q86-D	1Q86-A
1Q86-R	1Q86-A
1QA6-A	1QA6-C
1QF6-A	1QF6-B
1QRS-A	1QRS-B
1QRT-A	1QRT-B
1QRU-A	1QRU-B
1QTQ-A	1QTQ-B
1QU2-A	1QU2-T
1QU3-A	1QU3-T
1QVF-M	1QVF-9
1QVF-P	1QVF-0
1QVF-B	1QVF-0
1QVF-2	1QVF-0
1QVG-M	1QVG-9
1QVG-B	1QVG-0
1QZW-A	1QZW-B
1R3E-A	1R3E-C
1RLG-A	1RLG-C
1RPU-A	1RPU-C
1RPU-B	1RPU-C
1S03-G	1S03-B
1S72-N	1S72-9
1S72-B	1S72-0
1SER-B	1SER-T
1SJ3-P	1SJ3-R
1SJ4-P	1SJ4-R
1SJF-A	1SJF-B
1SZ1-A	1SZ1-E
1T0K-B	1T0K-D
1TTT-A	1TTT-D
1U0B-B	1U0B-A
1U1Y-A	1U1Y-R
1U63-A	1U63-B
1U6B-A	1U6B-B
1UN6-B	1UN6-F
1VBX-A	1VBX-B
1VBY-A	1VBY-B
1VBZ-A	1VBZ-B
1VC0-A	1VC0-B
1VC5-A	1VC5-B
1VC6-A	1VC6-B
1VC7-A	1VC7-B
1VFG-A	1VFG-C
1VOQ-Q	1VOQ-A
1VOR-W	1VOR-B
1VOR-N	1VOR-B
1VOR-D	1VOR-B
1VOS-Q	1VOS-A
1VOU-W	1VOU-B
1VOU-X	1VOU-B
1VOU-N	1VOU-B
1VOU-E	1VOU-B
1VOV-H	1VOV-A
1VOW-Z	1VOW-B
1VOW-X	1VOW-B
1VOW-N	1VOW-B
1VOW-P	1VOW-A
1VOW-E	1VOW-B
1VOX-Q	1VOX-A
1VOY-W	1VOY-B
1VOY-T	1VOY-B
1VOY-N	1VOY-B
1VOY-P	1VOY-B
1VOZ-H	1VOZ-A
1VP0-X	1VP0-B
1VP0-D	1VP0-B
1VP0-P	1VP0-A
1VQ4-Q	1VQ4-0
1VQ4-N	1VQ4-9
1VQ4-B	1VQ4-0
1VQ5-Q	1VQ5-0
1VQ5-N	1VQ5-9
1VQ5-B	1VQ5-0
1VQ6-N	1VQ6-9
1VQ6-B	1VQ6-0
1VQ7-Q	1VQ7-0
1VQ7-N	1VQ7-9
1VQ7-B	1VQ7-0
1VQ8-N	1VQ8-9
1VQ8-B	1VQ8-0
1VQ9-Q	1VQ9-0
1VQ9-N	1VQ9-9
1VQ9-B	1VQ9-0
1VQK-N	1VQK-9
1VQK-B	1VQK-0
1VQL-Q	1VQL-0
1VQL-N	1VQL-9
1VQL-B	1VQL-0
1VQM-Q	1VQM-0
1VQM-N	1VQM-9
1VQM-B	1VQM-0
1VQN-N	1VQN-9
1VQN-B	1VQN-0
1VQO-N	1VQO-9
1VQO-B	1VQO-0
1VQP-Q	1VQP-0
1VQP-N	1VQP-9
1VQP-B	1VQP-0
1VS5-I	1VS5-A
1VS6-O	1VS6-A
1VS6-W	1VS6-B
1VS6-M	1VS6-B
1VS6-C	1VS6-B
1VS7-I	1VS7-A
1VS8-F	1VS8-B
1VS8-O	1VS8-A
1VS8-W	1VS8-B
1VS8-M	1VS8-B
1VS8-C	1VS8-B
1VSA-M	1VSA-x
1VSA-E	1VSA-w
1VSA-B	1VSA-w
1VSA-U	1VSA-w
1VSP-M	1VSP-x
1VSP-K	1VSP-w
1VSP-E	1VSP-w
1VSP-B	1VSP-w
1VSP-U	1VSP-w
1VT2-O	1VT2-B
1VT2-W	1VT2-A
1VT2-M	1VT2-A
1VT2-C	1VT2-A
1W2B-M	1W2B-9
1W2B-P	1W2B-0
1W2B-B	1W2B-0
1WSU-A	1WSU-E
1WZ2-A	1WZ2-C
1XMO-L	1XMO-A
1XMQ-L	1XMQ-A
1XNQ-L	1XNQ-A
1XNR-I	1XNR-A
1XOK-C	1XOK-A
1Y39-A	1Y39-C
1Y69-K	1Y69-0
1Y69-U	1Y69-0
1YHQ-N	1YHQ-9
1YHQ-B	1YHQ-0
1YI2-Q	1YI2-0
1YI2-N	1YI2-9
1YI2-B	1YI2-0
1YIJ-Q	1YIJ-0
1YIJ-N	1YIJ-9
1YIJ-B	1YIJ-0
1YIT-Q	1YIT-0
1YIT-N	1YIT-9
1YIT-B	1YIT-0
1YJ9-Q	1YJ9-0
1YJ9-N	1YJ9-9
1YJ9-B	1YJ9-0
1YJN-Q	1YJN-0
1YJN-N	1YJN-9
1YJN-B	1YJN-0
1YJW-Q	1YJW-0
1YJW-N	1YJW-9
1YJW-B	1YJW-0
1YL3-Q	1YL3-B
1YL3-X	1YL3-A
1YL3-P	1YL3-A
1YL3-G	1YL3-A
1YL3-E	1YL3-A
1YL3-3	1YL3-A
1YL4-H	1YL4-A
1YL4-F	1YL4-A
1YL4-N	1YL4-A
1YL4-P	1YL4-A
1YL4-G	1YL4-A
1YL4-L	1YL4-A
1YL4-U	1YL4-A
1ZBH-A	1ZBH-E
1ZDH-A	1ZDH-R
1ZDI-A	1ZDI-R
1ZDK-A	1ZDK-R
1ZE2-A	1ZE2-C
1ZHO-A	1ZHO-B
1ZJW-A	1ZJW-B
1ZL3-A	1ZL3-B
1ZSE-B	1ZSE-R
1ZZN-A	1ZZN-B
2AB4-A	2AB4-B
2AKE-A	2AKE-B
2ANN-A	2ANN-B
2ANR-A	2ANR-B
2AVY-I	2AVY-A
2AW4-O	2AW4-A
2AW4-W	2AW4-B
2AW4-M	2AW4-B
2AW4-C	2AW4-B
2AW7-I	2AW7-A
2AWB-F	2AWB-B
2AWB-O	2AWB-A
2AWB-W	2AWB-B
2AWB-M	2AWB-B
2AWB-C	2AWB-B
2AZ0-B	2AZ0-D
2AZ2-A	2AZ2-D
2AZ2-B	2AZ2-D
2AZX-A	2AZX-C
2B2D-B	2B2D-R
2B2E-B	2B2E-R
2B2G-B	2B2G-R
2B3J-A	2B3J-E
2B63-B	2B63-R
2B64-M	2B64-A
2B64-D	2B64-A
2B64-K	2B64-A
2B64-I	2B64-V
2B64-G	2B64-A
2B66-S	2B66-B
2B66-Q	2B66-A
2B66-0	2B66-A
2B66-G	2B66-A
2B66-E	2B66-A
2B66-3	2B66-A
2B6G-A	2B6G-B
2B9M-M	2B9M-A
2B9M-K	2B9M-A
2B9M-I	2B9M-A
2B9M-G	2B9M-A
2B9N-S	2B9N-B
2B9N-Q	2B9N-A
2B9N-0	2B9N-A
2B9N-G	2B9N-A
2B9N-E	2B9N-A
2B9N-3	2B9N-A
2B9O-M	2B9O-A
2B9O-K	2B9O-A
2B9O-I	2B9O-A
2B9O-G	2B9O-A
2B9P-S	2B9P-B
2B9P-Q	2B9P-A
2B9P-0	2B9P-A
2B9P-G	2B9P-A
2B9P-E	2B9P-A
2B9P-3	2B9P-A
2BH2-A	2BH2-C
2BNY-B	2BNY-R
2BQ5-B	2BQ5-R
2BS0-B	2BS0-R
2BS1-B	2BS1-R
2BTE-A	2BTE-B
2BU1-B	2BU1-R
2BYT-A	2BYT-B
2C4Q-B	2C4Q-R
2C4Y-B	2C4Y-R
2C4Z-B	2C4Z-R
2C50-B	2C50-R
2C51-B	2C51-R
2CSX-A	2CSX-C
2CT8-A	2CT8-C
2CV0-A	2CV0-C
2CV1-A	2CV1-C
2CV2-A	2CV2-C
2CZJ-A	2CZJ-B
2D3O-R	2D3O-0
2D6F-C	2D6F-E
2DER-A	2DER-C
2DET-A	2DET-C
2DEU-A	2DEU-C
2DLC-X	2DLC-Y
2DR2-A	2DR2-B
2DR5-A	2DR5-B
2DR7-A	2DR7-B
2DR8-A	2DR8-B
2DR9-A	2DR9-B
2DRA-A	2DRA-B
2DRB-A	2DRB-B
2DU3-A	2DU3-D
2DU4-A	2DU4-C
2DU5-A	2DU5-D
2DU6-A	2DU6-D
2DVI-A	2DVI-B
2DXI-A	2DXI-C
2E5L-I	2E5L-A
2EZ6-A	2EZ6-D
2F4V-L	2F4V-A
2F8K-A	2F8K-B
2F8S-A	2F8S-C
2F8T-A	2F8T-C
2FK6-A	2FK6-R
2FMT-A	2FMT-C
2GJW-A	2GJW-E
2HGI-J	2HGI-A
2HGI-P	2HGI-A
2HGI-L	2HGI-A
2HGJ-Z	2HGJ-A
2HGJ-D	2HGJ-A
2HGJ-R	2HGJ-B
2HGJ-P	2HGJ-A
2HGP-F	2HGP-A
2HGP-J	2HGP-A
2HGP-N	2HGP-A
2HGP-P	2HGP-A
2HGP-E	2HGP-A
2HGP-H	2HGP-A
2HGP-G	2HGP-A
2HGP-L	2HGP-A
2HGQ-P	2HGQ-A
2HGQ-Z	2HGQ-A
2HGQ-D	2HGQ-A
2HGQ-R	2HGQ-B
2HGR-J	2HGR-A
2HGR-N	2HGR-A
2HGR-P	2HGR-A
2HGR-H	2HGR-A
2HGR-L	2HGR-A
2HGU-Z	2HGU-A
2HGU-D	2HGU-A
2HGU-R	2HGU-B
2HHH-L	2HHH-A
2HW8-A	2HW8-B
2I2P-I	2I2P-A
2I2T-O	2I2T-A
2I2T-W	2I2T-B
2I2T-M	2I2T-B
2I2T-C	2I2T-B
2I2U-I	2I2U-A
2I2V-O	2I2V-A
2I2V-W	2I2V-B
2I2V-M	2I2V-B
2I2V-C	2I2V-B
2I82-A	2I82-E
2I91-A	2I91-D
2IY5-B	2IY5-T
2IZ8-B	2IZ8-R
2IZ9-A	2IZ9-R
2IZM-B	2IZM-R
2IZN-B	2IZN-R
2J00-K	2J00-A
2J00-M	2J00-A
2J00-D	2J00-A
2J00-I	2J00-A
2J00-G	2J00-A
2J01-S	2J01-B
2J01-Q	2J01-A
2J01-D	2J01-A
2J01-0	2J01-A
2J01-G	2J01-A
2J02-K	2J02-A
2J02-M	2J02-A
2J02-D	2J02-A
2J02-I	2J02-A
2J02-G	2J02-A
2J03-S	2J03-B
2J03-Q	2J03-A
2J03-D	2J03-A
2J03-0	2J03-A
2NQP-C	2NQP-F
2NR0-A	2NR0-G
2NRE-A	2NRE-F
2NUE-A	2NUE-C
2NUF-A	2NUF-D
2NZ4-A	2NZ4-P
2O5I-C	2O5I-H
2O5J-C	2O5J-H
2OIH-A	2OIH-B
2OJ3-A	2OJ3-B
2OTJ-N	2OTJ-9
2OTJ-B	2OTJ-0
2OTL-N	2OTL-9
2OTL-B	2OTL-0
2OTL-Q	2OTL-0
2OW8-n	2OW8-y
2OW8-m	2OW8-y
2OW8-j	2OW8-y
2OW8-l	2OW8-y
2OW8-h	2OW8-y
2OZB-A	2OZB-C
2PJP-A	2PJP-B
2PPB-C	2PPB-H
2PXB-A	2PXB-B
2PXD-A	2PXD-B
2PXE-A	2PXE-B
2PXF-A	2PXF-B
2PXK-A	2PXK-B
2PXL-A	2PXL-B
2PXP-A	2PXP-B
2PXQ-A	2PXQ-B
2PXT-A	2PXT-B
2PXU-A	2PXU-B
2PXV-A	2PXV-B
2QA4-N	2QA4-9
2QA4-B	2QA4-0
2QAL-I	2QAL-A
2QAM-O	2QAM-A
2QAM-W	2QAM-B
2QAM-M	2QAM-B
2QAM-C	2QAM-B
2QAN-D	2QAN-A
2QAO-O	2QAO-A
2QAO-W	2QAO-B
2QAO-M	2QAO-B
2QAO-C	2QAO-B
2QB9-I	2QB9-A
2QBA-O	2QBA-A
2QBA-W	2QBA-B
2QBA-M	2QBA-B
2QBA-C	2QBA-B
2QBB-I	2QBB-A
2QBC-O	2QBC-A
2QBC-W	2QBC-B
2QBC-M	2QBC-B
2QBC-C	2QBC-B
2QBD-D	2QBD-A
2QBE-F	2QBE-B
2QBE-O	2QBE-A
2QBE-W	2QBE-B
2QBE-M	2QBE-B
2QBE-C	2QBE-B
2QBF-D	2QBF-A
2QBG-O	2QBG-A
2QBG-W	2QBG-B
2QBG-M	2QBG-B
2QBG-C	2QBG-B
2QBH-I	2QBH-A
2QBI-F	2QBI-B
2QBI-O	2QBI-A
2QBI-W	2QBI-B
2QBI-M	2QBI-B
2QBI-C	2QBI-B
2QBJ-I	2QBJ-A
2QBK-O	2QBK-A
2QBK-W	2QBK-B
2QBK-M	2QBK-B
2QBK-C	2QBK-B
2QEX-N	2QEX-9
2QEX-B	2QEX-0
2QK9-A	2QK9-B
2QKB-A	2QKB-C
2QNH-m	2QNH-y
2QNH-j	2QNH-y
2QNH-h	2QNH-y
2QOU-I	2QOU-A
2QOV-O	2QOV-A
2QOV-W	2QOV-B
2QOV-M	2QOV-B
2QOV-C	2QOV-B
2QOW-I	2QOW-A
2QOX-O	2QOX-A
2QOX-W	2QOX-B
2QOX-M	2QOX-B
2QOX-C	2QOX-B
2QOY-L	2QOY-A
2QOZ-O	2QOZ-A
2QOZ-W	2QOZ-B
2QOZ-M	2QOZ-B
2QOZ-C	2QOZ-B
2QP0-I	2QP0-A
2QP1-O	2QP1-A
2QP1-W	2QP1-B
2QP1-M	2QP1-B
2QP1-C	2QP1-B
2QUX-B	2QUX-C
2R8S-H	2R8S-R
2R92-B	2R92-T
2R93-B	2R93-R
2RD2-A	2RD2-B
2RE8-A	2RE8-B
2RFK-A	2RFK-E
2RKJ-B	2RKJ-C
2UU9-D	2UU9-A
2UUA-D	2UUA-A
2UUB-D	2UUB-A
2UUC-D	2UUC-A
2UWM-A	2UWM-D
2UWM-B	2UWM-D
2UXB-D	2UXB-A
2UXC-L	2UXC-A
2UXD-L	2UXD-A
2V0G-A	2V0G-B
2V3C-B	2V3C-N
2V3C-C	2V3C-M
2V46-K	2V46-A
2V46-M	2V46-A
2V46-I	2V46-A
2V46-G	2V46-A
2V47-S	2V47-B
2V47-Q	2V47-A
2V47-D	2V47-A
2V47-0	2V47-A
2V48-K	2V48-A
2V48-M	2V48-A
2V48-I	2V48-A
2V48-G	2V48-A
2V49-S	2V49-B
2V49-Q	2V49-A
2V49-D	2V49-A
2V49-0	2V49-A
2VHM-O	2VHM-A
2VHM-W	2VHM-B
2VHM-M	2VHM-B
2VHM-C	2VHM-B
2VHN-F	2VHN-B
2VHN-O	2VHN-A
2VHN-W	2VHN-B
2VHN-M	2VHN-B
2VHN-C	2VHN-B
2VHO-D	2VHO-A
2VHP-I	2VHP-A
2VPL-A	2VPL-B
2VQE-L	2VQE-A
2VQF-D	2VQF-A
2W2H-C	2W2H-R
2WDG-K	2WDG-A
2WDG-M	2WDG-A
2WDG-G	2WDG-A
2WDG-L	2WDG-A
2WDH-K	2WDH-A
2WDH-M	2WDH-A
2WDH-I	2WDH-A
2WDH-G	2WDH-A
2WDH-L	2WDH-A
2WDI-S	2WDI-B
2WDI-D	2WDI-A
2WDI-0	2WDI-A
2WDI-3	2WDI-A
2WDJ-D	2WDJ-A
2WDJ-0	2WDJ-A
2WDJ-G	2WDJ-B
2WDJ-3	2WDJ-A
2WDK-K	2WDK-A
2WDK-M	2WDK-A
2WDK-D	2WDK-A
2WDK-I	2WDK-A
2WDK-G	2WDK-A
2WDL-S	2WDL-B
2WDL-Q	2WDL-A
2WDL-D	2WDL-A
2WDL-0	2WDL-A
2WDM-K	2WDM-A
2WDM-M	2WDM-A
2WDM-D	2WDM-A
2WDM-I	2WDM-A
2WDM-G	2WDM-A
2WDN-Q	2WDN-A
2WDN-D	2WDN-A
2WDN-0	2WDN-A
2WDN-G	2WDN-B
2WDN-3	2WDN-A
2WH1-K	2WH1-A
2WH1-Y	2WH1-A
2WH1-M	2WH1-A
2WH1-D	2WH1-A
2WH1-I	2WH1-A
2WH1-G	2WH1-A
2WH2-S	2WH2-B
2WH2-Q	2WH2-A
2WH2-D	2WH2-A
2WH2-0	2WH2-A
2WH2-G	2WH2-A
2WH2-3	2WH2-A
2WH3-K	2WH3-A
2WH3-Y	2WH3-A
2WH3-M	2WH3-A
2WH3-D	2WH3-A
2WH3-I	2WH3-A
2WH3-G	2WH3-A
2WH4-S	2WH4-B
2WH4-Q	2WH4-A
2WH4-D	2WH4-A
2WH4-0	2WH4-A
2WH4-3	2WH4-A
2WRI-K	2WRI-A
2WRI-Y	2WRI-A
2WRI-M	2WRI-A
2WRI-I	2WRI-A
2WRI-G	2WRI-A
2WRI-L	2WRI-A
2WRJ-S	2WRJ-B
2WRJ-Q	2WRJ-A
2WRJ-D	2WRJ-A
2WRJ-0	2WRJ-A
2WRK-K	2WRK-A
2WRK-Y	2WRK-A
2WRK-M	2WRK-A
2WRK-I	2WRK-A
2WRK-G	2WRK-A
2WRK-L	2WRK-A
2WRL-S	2WRL-B
2WRL-Q	2WRL-A
2WRL-D	2WRL-A
2WRL-0	2WRL-A
2WRN-K	2WRN-A
2WRN-E	2WRN-A
2WRN-M	2WRN-A
2WRN-C	2WRN-A
2WRN-I	2WRN-A
2WRN-G	2WRN-A
2WRN-L	2WRN-A
2WRO-S	2WRO-B
2WRO-Q	2WRO-A
2WRO-D	2WRO-A
2WRO-0	2WRO-A
2WRO-G	2WRO-A
2WRO-3	2WRO-A
2WRQ-K	2WRQ-A
2WRQ-E	2WRQ-A
2WRQ-M	2WRQ-A
2WRQ-C	2WRQ-A
2WRQ-I	2WRQ-A
2WRQ-G	2WRQ-A
2WRQ-L	2WRQ-A
2WRR-S	2WRR-B
2WRR-Q	2WRR-A
2WRR-D	2WRR-A
2WRR-0	2WRR-A
2WRR-G	2WRR-A
2X9R-K	2X9R-A
2X9R-Y	2X9R-A
2X9R-M	2X9R-A
2X9R-D	2X9R-A
2X9R-I	2X9R-A
2X9R-G	2X9R-A
2X9S-S	2X9S-B
2X9S-Q	2X9S-A
2X9S-D	2X9S-A
2X9S-0	2X9S-A
2X9S-G	2X9S-A
2X9T-K	2X9T-A
2X9T-Y	2X9T-A
2X9T-M	2X9T-A
2X9T-D	2X9T-A
2X9T-I	2X9T-A
2X9T-G	2X9T-A
2X9U-S	2X9U-B
2X9U-Q	2X9U-A
2X9U-D	2X9U-A
2X9U-0	2X9U-A
2XDB-A	2XDB-G
2XDD-A	2XDD-H
2XFZ-K	2XFZ-A
2XFZ-Y	2XFZ-A
2XFZ-E	2XFZ-A
2XFZ-M	2XFZ-A
2XFZ-C	2XFZ-A
2XFZ-I	2XFZ-A
2XFZ-G	2XFZ-A
2XFZ-L	2XFZ-A
2XG0-S	2XG0-B
2XG0-Q	2XG0-A
2XG0-D	2XG0-A
2XG0-0	2XG0-A
2XG1-K	2XG1-A
2XG1-M	2XG1-A
2XG1-I	2XG1-A
2XG1-G	2XG1-A
2XG1-L	2XG1-A
2XG2-S	2XG2-B
2XG2-Q	2XG2-A
2XG2-D	2XG2-A
2XG2-0	2XG2-A
2XG2-G	2XG2-A
2XLI-A	2XLI-B
2XLJ-A	2XLJ-B
2XQD-K	2XQD-A
2XQD-M	2XQD-A
2XQD-D	2XQD-A
2XQD-G	2XQD-A
2XQD-L	2XQD-A
2XQE-S	2XQE-B
2XQE-Q	2XQE-A
2XQE-D	2XQE-A
2XQE-0	2XQE-A
2XQE-G	2XQE-A
2XXA-A	2XXA-G
2XZM-2	2XZM-A
2XZN-Y	2XZN-A
2Y0U-K	2Y0U-A
2Y0U-E	2Y0U-A
2Y0U-M	2Y0U-A
2Y0U-I	2Y0U-A
2Y0U-G	2Y0U-A
2Y0U-L	2Y0U-A
2Y0V-S	2Y0V-B
2Y0V-Q	2Y0V-A
2Y0V-D	2Y0V-A
2Y0V-0	2Y0V-A
2Y0W-K	2Y0W-A
2Y0W-E	2Y0W-A
2Y0W-M	2Y0W-A
2Y0W-I	2Y0W-A
2Y0W-G	2Y0W-A
2Y0W-L	2Y0W-A
2Y0X-S	2Y0X-B
2Y0X-Q	2Y0X-A
2Y0X-D	2Y0X-A
2Y0X-0	2Y0X-A
2Y0Y-K	2Y0Y-A
2Y0Y-E	2Y0Y-A
2Y0Y-M	2Y0Y-A
2Y0Y-I	2Y0Y-A
2Y0Y-G	2Y0Y-A
2Y0Y-L	2Y0Y-A
2Y0Z-S	2Y0Z-B
2Y0Z-Q	2Y0Z-A
2Y0Z-D	2Y0Z-A
2Y0Z-0	2Y0Z-A
2Y10-K	2Y10-A
2Y10-E	2Y10-A
2Y10-M	2Y10-A
2Y10-D	2Y10-A
2Y10-C	2Y10-A
2Y10-I	2Y10-A
2Y10-G	2Y10-A
2Y10-L	2Y10-A
2Y11-S	2Y11-B
2Y11-Q	2Y11-A
2Y11-D	2Y11-A
2Y11-0	2Y11-A
2Y12-K	2Y12-A
2Y12-E	2Y12-A
2Y12-M	2Y12-A
2Y12-I	2Y12-A
2Y12-G	2Y12-A
2Y12-L	2Y12-A
2Y13-S	2Y13-B
2Y13-Q	2Y13-A
2Y13-D	2Y13-A
2Y13-0	2Y13-A
2Y14-K	2Y14-A
2Y14-E	2Y14-A
2Y14-M	2Y14-A
2Y14-D	2Y14-A
2Y14-I	2Y14-A
2Y14-G	2Y14-A
2Y14-L	2Y14-A
2Y15-S	2Y15-B
2Y15-Q	2Y15-A
2Y15-D	2Y15-A
2Y15-0	2Y15-A
2Y16-K	2Y16-A
2Y16-E	2Y16-A
2Y16-M	2Y16-A
2Y16-I	2Y16-A
2Y16-G	2Y16-A
2Y16-L	2Y16-A
2Y17-S	2Y17-B
2Y17-Q	2Y17-A
2Y17-D	2Y17-A
2Y17-0	2Y17-A
2Y18-K	2Y18-A
2Y18-E	2Y18-A
2Y18-M	2Y18-A
2Y18-D	2Y18-A
2Y18-C	2Y18-A
2Y18-I	2Y18-A
2Y18-G	2Y18-A
2Y18-L	2Y18-A
2Y19-S	2Y19-B
2Y19-Q	2Y19-A
2Y19-D	2Y19-A
2Y19-0	2Y19-A
2Y8W-A	2Y8W-B
2Y8Y-A	2Y8Y-B
2Y9A-F	2Y9A-V
2Y9A-H	2Y9A-X
2Y9A-C	2Y9A-V
2Y9B-F	2Y9B-V
2Y9B-H	2Y9B-X
2Y9B-C	2Y9B-V
2Y9C-O	2Y9C-Y
2Y9C-M	2Y9C-X
2Y9C-C	2Y9C-V
2Y9D-A	2Y9D-V
2Z4K-I	2Z4K-A
2Z4L-F	2Z4L-B
2Z4L-O	2Z4L-A
2Z4L-W	2Z4L-B
2Z4L-M	2Z4L-B
2Z4L-C	2Z4L-B
2Z4M-I	2Z4M-A
2Z4N-O	2Z4N-A
2Z4N-W	2Z4N-B
2Z4N-M	2Z4N-B
2Z4N-C	2Z4N-B
2ZH1-A	2ZH1-B
2ZH2-A	2ZH2-B
2ZH3-A	2ZH3-B
